URG Flag Count,Fwd Packet Length Mean,Avg Fwd Segment Size,Down/Up Ratio,Packet Length Min,Protocol,Bwd Packet Length Min,CWE Flag Count,ACK Flag Count,Fwd Packet Length Min,Packet Length Mean,Avg Bwd Segment Size,Bwd Packet Length Mean,Fwd Packet Length Max,Avg Packet Size,Label
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.93332,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.3846,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,452.94116,DrDoS_NTP
0,1448.0,1448.0,0.0,1448.0,17,0.0,0,0,1448.0,1448.0,0.0,0.0,1448.0,2172.0,DrDoS_DNS
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.0137,DrDoS_NTP
0,445.0,445.0,0.0,418.0,17,0.0,0,0,418.0,441.14285,0.0,0.0,490.0,514.6667,UDP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,476.66666,DrDoS_NTP
0,426.15384,426.15384,0.0,80.0,17,0.0,0,0,80.0,426.4151,0.0,0.0,440.0,434.6154,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,448.8,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,453.75,DrDoS_NTP
0,416.0,416.0,0.0,296.0,17,0.0,0,0,296.0,417.84616,0.0,0.0,440.0,452.66666,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.07407,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,495.0,DrDoS_NTP
0,416.0,416.0,0.0,296.0,17,0.0,0,0,296.0,417.84616,0.0,0.0,440.0,452.66666,DrDoS_NTP
0,368.0,368.0,0.0,80.0,17,0.0,0,0,80.0,374.54544,0.0,0.0,440.0,412.0,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.15094,DrDoS_NTP
0,0.0,0.0,0.0,0.0,6,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Syn
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,484.0,DrDoS_NTP
0,349.5,349.5,0.0,330.0,17,0.0,0,0,330.0,345.6,0.0,0.0,369.0,432.0,UDP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,513.3333,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,452.94116,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,462.0,DrDoS_NTP
0,437.67743,437.67743,0.0,368.0,17,0.0,0,0,368.0,437.7143,0.0,0.0,440.0,444.7742,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.2,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.3158,DrDoS_NTP
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.428571,Syn
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,495.0,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,467.5,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,513.3333,DrDoS_NTP
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.3333335,Syn
0,433.73914,433.73914,0.0,296.0,17,0.0,0,0,296.0,433.87234,0.0,0.0,440.0,443.30435,DrDoS_NTP
0,430.27026,430.27026,0.0,80.0,17,0.0,0,0,80.0,430.4,0.0,0.0,440.0,436.21622,DrDoS_NTP
0,429.2,429.2,0.0,224.0,17,0.0,0,0,224.0,429.4634,0.0,0.0,440.0,440.2,DrDoS_NTP
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.3333335,Syn
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.5,Syn
0,424.34784,424.34784,0.0,80.0,17,0.0,0,0,80.0,424.68085,0.0,0.0,440.0,433.91306,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,445.36584,DrDoS_NTP
0,431.0,431.0,0.0,224.0,17,0.0,0,0,224.0,431.1837,0.0,0.0,440.0,440.16666,DrDoS_NTP
0,349.5,349.5,0.0,330.0,17,0.0,0,0,330.0,345.6,0.0,0.0,369.0,432.0,UDP
0,431.0,431.0,0.0,368.0,17,0.0,0,0,368.0,431.52942,0.0,0.0,440.0,458.5,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.2,DrDoS_NTP
0,6.0,6.0,0.0,6.0,6,0.0,0,1,6.0,6.0,0.0,0.0,6.0,6.6,Syn
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,445.94595,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,462.0,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.2,DrDoS_NTP
0,6.0,6.0,1.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,7.5,Syn
0,348.0,348.0,0.0,321.0,17,0.0,0,0,321.0,344.14285,0.0,0.0,393.0,401.5,DrDoS_UDP
0,435.0345,435.0345,0.0,296.0,17,0.0,0,0,296.0,435.11865,0.0,0.0,440.0,442.6207,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.92856,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.2,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,448.46155,DrDoS_NTP
0,359.5,359.5,0.0,330.0,17,0.0,0,0,330.0,353.6,0.0,0.0,389.0,442.0,UDP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,447.09677,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,476.66666,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.8889,DrDoS_NTP
0,428.6316,428.6316,0.0,224.0,17,0.0,0,0,224.0,428.92307,0.0,0.0,440.0,440.21054,DrDoS_NTP
0,435.63635,435.63635,0.0,296.0,17,0.0,0,0,296.0,435.7015,0.0,0.0,440.0,442.30304,DrDoS_NTP
0,412.30768,412.30768,0.0,80.0,17,0.0,0,0,80.0,413.33334,0.0,0.0,440.0,429.23077,DrDoS_NTP
0,419.42856,419.42856,0.0,152.0,17,0.0,0,0,152.0,420.13794,0.0,0.0,440.0,435.14285,DrDoS_NTP
0,420.36365,420.36365,0.0,224.0,17,0.0,0,0,224.0,421.21738,0.0,0.0,440.0,440.36365,DrDoS_NTP
0,417.84616,417.84616,0.0,152.0,17,0.0,0,0,152.0,418.66666,0.0,0.0,440.0,434.76923,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.92856,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,462.0,DrDoS_NTP
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.3333335,Syn
0,422.0,422.0,0.0,296.0,17,0.0,0,0,296.0,423.05884,0.0,0.0,440.0,449.5,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.2,DrDoS_NTP
0,424.57144,424.57144,0.0,224.0,17,0.0,0,0,224.0,425.10345,0.0,0.0,440.0,440.2857,DrDoS_NTP
0,424.0,424.0,0.0,296.0,17,0.0,0,0,296.0,424.8421,0.0,0.0,440.0,448.44446,DrDoS_NTP
0,423.05884,423.05884,0.0,152.0,17,0.0,0,0,152.0,423.54285,0.0,0.0,440.0,436.0,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,448.46155,DrDoS_NTP
0,426.9091,426.9091,0.0,296.0,17,0.0,0,0,296.0,427.47827,0.0,0.0,440.0,446.9091,DrDoS_NTP
0,1170.0,1170.0,0.0,1170.0,17,0.0,0,0,1170.0,1170.0,0.0,0.0,1170.0,1755.0,DrDoS_DNS
0,359.5,359.5,0.0,330.0,17,0.0,0,0,330.0,353.6,0.0,0.0,389.0,442.0,UDP
0,404.0,404.0,0.0,152.0,17,0.0,0,0,152.0,406.11765,0.0,0.0,440.0,431.5,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,513.3333,DrDoS_NTP
0,1448.0,1448.0,0.0,1448.0,17,0.0,0,0,1448.0,1448.0,0.0,0.0,1448.0,2172.0,DrDoS_DNS
0,395.0,395.0,0.0,80.0,17,0.0,0,0,80.0,397.64706,0.0,0.0,440.0,422.5,DrDoS_NTP
0,359.5,359.5,0.0,330.0,17,0.0,0,0,330.0,353.6,0.0,0.0,389.0,442.0,DrDoS_UDP
0,419.42856,419.42856,0.0,296.0,17,0.0,0,0,296.0,420.8,0.0,0.0,440.0,450.85715,DrDoS_NTP
0,6.0,6.0,0.0,6.0,6,0.0,0,1,6.0,6.0,0.0,0.0,6.0,7.5,Syn
0,6.0,6.0,1.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.75,Syn
0,432.0,432.0,0.0,368.0,17,0.0,0,0,368.0,432.42105,0.0,0.0,440.0,456.44446,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,445.94595,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,445.5,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.49207,DrDoS_NTP
0,481.0,481.0,0.0,481.0,17,0.0,0,0,481.0,481.0,0.0,0.0,481.0,721.5,UDP
0,423.63635,423.63635,0.0,80.0,17,0.0,0,0,80.0,424.0,0.0,0.0,440.0,433.63635,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,451.0,DrDoS_NTP
0,6.6666665,6.6666665,1.0,0.0,6,0.0,0,1,0.0,16.166666,23.428572,23.428572,15.0,16.869566,Syn
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.6,Syn
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,513.3333,DrDoS_NTP
0,396.8,396.8,0.0,224.0,17,0.0,0,0,224.0,400.72726,0.0,0.0,440.0,440.8,DrDoS_NTP
0,413.0,413.0,0.0,224.0,17,0.0,0,0,224.0,414.58823,0.0,0.0,440.0,440.5,DrDoS_NTP
0,413.0,413.0,0.0,224.0,17,0.0,0,0,224.0,414.58823,0.0,0.0,440.0,440.5,DrDoS_NTP
0,411.2,411.2,0.0,296.0,17,0.0,0,0,296.0,413.81818,0.0,0.0,440.0,455.2,DrDoS_NTP
0,342.33334,342.33334,0.0,322.0,17,0.0,0,0,322.0,339.42856,0.0,0.0,374.0,396.0,UDP
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,7.0,Syn
0,409.14285,409.14285,0.0,224.0,17,0.0,0,0,224.0,411.2,0.0,0.0,440.0,440.57144,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,464.44446,DrDoS_NTP
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.22223,DrDoS_NTP
